blank,file_uri,uri
,http://findingaids.princeton.edu/folders/MC104.3/c01362.mets,/repositories/3/digital_objects/42585
,http://findingaids.princeton.edu/folders/MC104.3/c01363.mets,/repositories/3/digital_objects/42586
,http://findingaids.princeton.edu/folders/MC104.3/c01364.mets,/repositories/3/digital_objects/42587
,http://findingaids.princeton.edu/folders/MC104.3/c01366.mets,/repositories/3/digital_objects/42588
,http://findingaids.princeton.edu/folders/MC104.3/c01367.mets,/repositories/3/digital_objects/42589
,http://findingaids.princeton.edu/folders/AC060/c0012.mets,/repositories/4/digital_objects/43217
,http://findingaids.princeton.edu/folders/AC068/c0001.mets,/repositories/4/digital_objects/43244
,http://findingaids.princeton.edu/folders/AC068/c0002.mets,/repositories/4/digital_objects/43245
,http://findingaids.princeton.edu/folders/AC068/c0003.mets,/repositories/4/digital_objects/43246
,http://findingaids.princeton.edu/folders/AC068/c0004.mets,/repositories/4/digital_objects/43247
,http://findingaids.princeton.edu/folders/AC068/c0005.mets,/repositories/4/digital_objects/43248
,http://findingaids.princeton.edu/folders/AC068/c0006.mets,/repositories/4/digital_objects/43249
,http://findingaids.princeton.edu/folders/AC068/c0007.mets,/repositories/4/digital_objects/43250
,http://findingaids.princeton.edu/folders/AC068/c0008.mets,/repositories/4/digital_objects/43251
,http://findingaids.princeton.edu/folders/AC008/c0005.mets,/repositories/4/digital_objects/43255
,http://findingaids.princeton.edu/folders/MC016/c10308.mets,/repositories/5/digital_objects/10990
,http://findingaids.princeton.edu/folders/C0108/c02198.mets,/repositories/5/digital_objects/54559
,http://findingaids.princeton.edu/folders/C0108/c02200.mets,/repositories/5/digital_objects/54561
,http://findingaids.princeton.edu/folders/C0108/c02209.mets,/repositories/5/digital_objects/54576
,http://findingaids.princeton.edu/folders/RBD1.1/c13697.mets,/repositories/6/digital_objects/17768
,http://findingaids.princeton.edu/folders/RBD1.1/c13673.mets,/repositories/6/digital_objects/17769
,http://findingaids.princeton.edu/folders/RBD1.1/c15323.mets,/repositories/6/digital_objects/17784
